27.712812 0.000000e+00 3.244638e+08
25.980762 3.226928e+05 3.460947e+08
24.248711 2.582199e+06 3.708158e+08
22.516661 8.722683e+06 3.993401e+08
20.784609 2.072283e+07 4.326184e+08
19.052559 4.066684e+07 4.719474e+08
17.320507 7.089310e+07 5.191421e+08
15.588457 1.142758e+08 5.768246e+08
13.856406 1.747406e+08 6.489276e+08
12.124355 2.582256e+08 7.416316e+08
10.392304 3.745727e+08 8.652369e+08
8.660254 5.416117e+08 1.038284e+09
6.928203 7.951846e+08 1.297855e+09
5.196152 1.218577e+09 1.730474e+09
3.464102 2.055781e+09 2.595710e+09
1.732051 4.417973e+09 5.191421e+09
0.000000 2.804861e+10 inf
1.732051 4.413148e+09 5.191421e+09
3.464102 2.046348e+09 2.595710e+09
5.196152 1.204970e+09 1.730474e+09
6.928203 7.780467e+08 1.297855e+09
8.660254 5.217868e+08 1.038284e+09
10.392304 3.530774e+08 8.652369e+08
12.124355 2.362033e+08 7.416316e+08
13.856406 1.533913e+08 6.489276e+08
15.588457 9.476275e+07 5.768246e+08
17.320507 5.423086e+07 5.191421e+08
19.052559 2.760043e+07 4.719474e+08
20.784609 1.161088e+07 4.326184e+08
22.516661 3.436431e+06 3.993401e+08
24.248711 4.294174e+05 3.708158e+08
25.980762 0.000000e+00 3.460947e+08
