13.856406 0.000000e+00 6.489276e+08
12.124355 4.986427e+06 7.416316e+08
10.392304 4.005568e+07 8.652369e+08
8.660254 1.372330e+08 1.038284e+09
6.928203 3.388376e+08 1.297855e+09
5.196152 7.272226e+08 1.730474e+09
3.464102 1.540596e+09 2.595710e+09
1.732051 3.883339e+09 5.191421e+09
0.000000 2.749478e+10 inf
1.732051 3.841446e+09 5.191421e+09
3.464102 1.465266e+09 2.595710e+09
5.196152 6.346671e+08 1.730474e+09
6.928203 2.501942e+08 1.297855e+09
8.660254 7.236686e+07 1.038284e+09
10.392304 8.987595e+06 8.652369e+08
12.124355 0.000000e+00 7.416316e+08
